Ship Mode,First Class,,,Same Day,,,Second Class,,,Standard Class,,
Segment,Consumer,Corporate,Home Office,Consumer,Corporate,Home Office,Consumer,Corporate,Home Office,Consumer,Corporate,Home Office
Order Date,,,,,,,,,,,,
14-Mar-13,,,,,,,,,,,,91.056
16-Dec-13,,,,,,,129.44,,,,,
2-Jun-13,,,,,,,,,,605.47,,
21-Oct-13,,,,,,,,,,,788.86,
27-Aug-13,,,,,,,13.36,,,,,
28-Nov-13,,,,,,,,542.34,,,,
31-Mar-13,,,,,,,,,,,1.869,
21-Nov-13,,,,,,,,,,,865.5,
1-Nov-13,,,,,,,,,,,1044.44,
5-Apr-13,,,,,,,,4251.92,,,,
5-Jul-13,,242.546,,,,,,,,,,
15-Jan-13,149.95,,,,,,,,,,,
2-Dec-13,,,,,,,,,,,21.19,
19-Mar-13,,590.762,,,,,,,,,,
27-Jun-13,,,,,,,,,,616.14,,
6-Jan-13,,12.78,,,,,,,,,,
14-May-13,,,,,,,,,,,310.88,
12-Dec-13,,,,,,,,,,23.472,,
29-Apr-13,,,,,,,,,,,661.504,
24-Oct-13,,,,,,,,,,,,10.368
15-Aug-13,243.6,,,,,,,,,,,
13-Jan-13,,,,,,,545.94,,,,,
25-Apr-13,,,,,,,,,,302.376,,
18-Oct-13,,,,,,,,2216.8,,,,
21-Jan-13,,,,,,,25.248,,,,,
17-Aug-13,,,,,,,,,,,484.79,
5-May-13,,47.32,,,,,,,,,,
16-Dec-13,,,,,,,,,,,1.167,
24-Oct-13,,,,11.85,,,,,,,,
24-Dec-13,9.568,,,,,,,,,,,
11-Oct-13,,,,,,,,,,,16.23,
20-Aug-13,,,,,,,,,,,1417.35,
28-Sep-13,,,,,,,,,,337.088,,
11-Mar-13,,,,,,,,782.63,,,,
18-Oct-13,,,,,,,,,,,605.34,
6-Aug-13,,,,,,,62.91,,,,,
26-Jul-13,,,,,,,,,,256.48,,
4-Mar-13,,,,354.9,,,,,,,,
15-Nov-13,,,,,,,,,,362.176,,
14-Dec-13,,,,,,,,,,186.304,,
4-Mar-13,,,,,,,,,,15.552,,
1-Aug-13,,,,,,,,,,,202.896,
21-May-13,,,,,,,,,,,3333.9,
24-Aug-13,,,,,,,,25.5,,,,
2-Nov-13,,,,,,,,,,,,799.92
19-Dec-13,,,,,,,1979.89,,,,,
6-Nov-13,,,,,,,,,,43.68,,
4-Nov-13,,,,,,,,66.616,,,,
24-Nov-13,,,,,,,,,,,,111.15
2-Feb-13,,,,,,,,,,199.296,,
17-Dec-13,,,,,,,40.05,,,,,
7-Apr-13,8.96,,,,,,,,,,,
2-May-13,,,,,,,479.984,,,,,
27-Aug-13,,1812.01,,,,,,,,,,
28-Sep-13,,,,,,,,,,,106.944,
22-Nov-13,,9.96,,,,,,,,,,
19-Sep-13,,,,,,,,,,2692.329,,
22-Sep-13,,,,,,,4.608,,,,,
11-Feb-13,,,,,,,,,,1508.13,,
8-Sep-13,,,,,,,,,,254.97,,
7-Apr-13,,,,,,,,,,,752.92,
22-Nov-13,,,,,,,,,,,1022.61,
13-Dec-13,,,,,,,,12.39,,,,
19-May-13,34.2,,,,,,,,,,,
31-Mar-13,,,,1142.165,,,,,,,,
22-Aug-13,,,,,,,7.632,,,,,
1-Dec-13,,,,,,,,,,95.968,,
28-Jul-13,,,,193.152,,,,,,,,
6-Feb-13,,321.56,,,,,,,,,,
13-Oct-13,,,389.74,,,,,,,,,
9-Jun-13,,,,,,,1441.3,,,,,
5-Nov-13,,,,,,,,,,,,47.79
20-Dec-13,,,,,,,,,,732.312,,
21-Dec-13,,,,,,,,,,,,18.24
21-Apr-13,,,,,,,,,,,828.84,
20-Dec-13,,,2884.37,,,,,,,,,
5-Sep-13,31.984,,,,,,,,,,,
9-Oct-13,,,,,,,,,,,88.768,
5-Dec-13,,,,,,,,,,24.56,,
12-Sep-13,,,,,,,,,,,192.424,
4-Jul-13,,,,,,,,,,37.44,,
13-May-13,,,405.456,,,,,,,,,
30-Sep-13,,,,,,,,,,69.216,,
29-Apr-13,,,,,,,69.9,,,,,
8-Oct-13,,,,23.472,,,,,,,,
15-Oct-13,,,,,,,,,,15.384,,
22-May-13,,,,,,,,,,180.93,,
18-Mar-13,,,,,,,,,,,,23661.228
14-Sep-13,,,,,,,26.128,,,,,
3-Nov-13,,,,,,,,,,147.344,,
30-May-13,,,,,,,,,,,13.62,
27-Oct-13,,,,,,,,,,,,22.32
30-Nov-13,,,,,,,,,,,6.642,
10-Jan-13,,,,,,,,,,,54.83,
4-Apr-13,,,,,,,,,,,364.93,
15-Mar-13,,,,,,,,,,370.782,,
20-Sep-13,,,,,,,,,,,2.816,
22-Oct-13,,,,,,,,,,,129.92,
30-Jun-13,,,,310.688,,,,,,,,
2-Sep-13,,,,,,,,,,1793.98,,
1-Nov-13,,,,,,,,,,,75.16,
5-Jul-13,,,,,,,,,,,4.368,
27-Dec-13,,,,,,,,,,,521.92,
16-Dec-13,,,,,,,,1015.816,,,,
12-Aug-13,286.65,,,,,,,,,,,
23-Dec-13,,,,,,,619.848,,,,,
16-Apr-13,,,,,,,,,,,39.072,
6-Dec-13,,,,,,,,,,42.208,,
3-Mar-13,,,,,,,19.456,,,,,
30-Apr-13,,,,,,,47.79,,,,,
12-Aug-13,,,,,,,,,,,,457.744
8-Aug-13,,,,,,,155.456,,,,,
16-Mar-13,,,,,,,,,471.92,,,
5-Jul-13,514.03,,,,,,,,,,,
19-Nov-13,,,,,,,,,682.91,,,
19-Apr-13,,,,,,,129.33,,,,,
9-May-13,,,,,158.71,,,,,,,
14-Sep-13,,,,,,,,,,149.56,,
7-Dec-13,,,,,,,,,,105.52,,
30-Apr-13,1000.95,,,,,,,,,,,
2-Apr-13,,,,,,,,,,,177.68,
1-Jul-13,,,,,,,,,,,581.104,
14-Nov-13,,,,,,,,,,32.4,,
13-Jan-13,,,,,,,,1287.26,,,,
28-Nov-13,,,,,,,,,,14.67,,
21-Mar-13,,,,,,,,,,,3769.56,
8-Sep-13,,116.85,,,,,,,,,,
2-Apr-13,,,,,,,,,,1220.67,,
23-Mar-13,9.912,,,,,,,,,,,
12-Nov-13,,,,,,,,7.872,,,,
3-Nov-13,,,,,,,,,,1395.673,,
7-Apr-13,,,,,,259.29,,,,,,
31-May-13,,,,,,,,,,773.7,,
5-May-13,,,,,,,40.54,,,,,
30-Dec-13,39.128,,,,,,,,,,,
6-Jan-13,,,,,,,,,,,,4374.88
9-Aug-13,,,,,,,,,,,193.936,
6-Jun-13,,,,,,,,,,63.381,,
20-Oct-13,,426.942,,,,,,,,,,
29-Aug-13,,,,,,,709.0425,,,,,
16-May-14,,,,,,255.968,,,,,,
6-Apr-14,,,,,,,,,,47.952,,
9-Jun-14,,,,,,,,,,175.32,,
22-Sep-14,,,,,,,,,,,,763.508
24-Aug-14,,,,,,,,,,3747.93,,
15-Sep-14,,,,,,,,,,1918.79,,
18-Apr-14,106.5,,,,,,,,,,,
21-Nov-14,18.176,,,,,,,,,,,
3-Feb-14,,,,,,,,,,74.52,,
24-Jul-14,,,,,,,,,,,,525.95
28-Jun-14,,,,,,,,,,,,260.31
26-Mar-14,,,,,,,,,,,74.352,
27-Dec-14,,,,,,,,,,,284.44,
6-Feb-14,,176.63,,,,,,,,,,
12-Jun-14,,,,,,,,,,55.984,,
4-Jan-14,,,,,,,,,,,192.22,
13-Jun-14,,,,,,,,,,,976.29,
7-Nov-14,,,,,,,,,,,1361.631,
23-Jun-14,,,,,,,,,,,268.4,
21-Apr-14,,,,,,,,,,893.09,,
1-Nov-14,,,,,,,,,,301.96,,
8-Nov-14,,,,,,,,,,,81.135,
8-Nov-14,,,,,,,750.93,,,,,
31-Dec-14,,,,,,,,596.48,,,,
25-May-14,,,,,,,,467.04,,,,
4-Dec-14,,,,,,,,,,8.226,,
9-Mar-14,,,,,,,4.608,,,,,
9-Jun-14,,,,,,,,,,,,113.1
13-Nov-14,,,,,,,,,,115.296,,
2-Jul-14,,,,,,,,,,27.504,,
21-Dec-14,,,,,,,,,,78.192,,
12-Nov-14,,,,,,,,,,,792.508,
13-Oct-14,,,,,,,,,,371.66,,
13-Nov-14,,,,,,,,,,84.96,,
5-Oct-14,,,,,,,,,,,,75.04
19-Sep-14,,,,,,,,,61.96,,,
26-Jun-14,,,,,,,,,,535.36,,
28-Jan-14,,,,,,,4297.644,,,,,
5-Jul-14,,,,,,,,12.158,,,,
23-Dec-14,194.32,,,,,,,,,,,
22-Mar-14,,,,598.352,,,,,,,,
5-Nov-14,,,,,,,,,,387.136,,
13-Sep-14,,,,,,,,,,199.86,,
9-Jan-14,,,,,,,,,,364.07,,
14-Dec-14,,,,,,,,3.76,,,,
11-Aug-14,,,,,,,,,,46.152,,
13-Aug-14,,,,,,,,,,5.64,,
21-Mar-14,,,,,,,,,,1270.379,,
25-Sep-14,,,,,,,,,,,22.549,
22-Mar-14,,,,,,,,,,,19.56,
11-Jun-14,,3165.744,,,,,,,,,,
21-Aug-14,,,,,,,,,,,53.28,
26-Apr-14,,,,,,,,,,194.1395,,
3-Dec-14,,,,,,,,,,288.85,,
21-Jun-14,,,,,,,,,,107.976,,
14-Dec-14,,,,,,,,,,,62.46,
11-Apr-14,,,,,,,,,,121.888,,
2-Oct-14,,,,,,,,,,,,7.38
27-Sep-14,,,,,,,,,,2026.78,,
14-Sep-14,,,,,,,269.49,,,,,
12-Mar-14,,,,,,,,,,,45.976,
3-Jul-14,,,,,,,,,,365.91,,
24-Jan-14,,,,,,,,,,,,13.12
9-Oct-14,,,,,,,,,,30.84,,
23-Mar-14,59.48,,,,,,,,,,,
5-Nov-14,,,,,,,,,,,207,
30-Oct-14,182.91,,,,,,,,,,,
18-Jun-14,,,,,,,,,,1046.47,,
13-Aug-14,,64.68,,,,,,,,,,
6-Sep-14,,,,,,,,,3.444,,,
16-Mar-14,,,,,,,498.93,,,,,
10-Oct-14,,,,,,,,,,1801.632,,
27-Dec-14,,,,,,,,,,105.42,,
7-Dec-14,,,,,,,,,,436.86,,
22-Sep-14,,,,,,,,,80.38,,,
5-Sep-14,,,,,,,,,,,,67.96
13-Nov-14,,,,,,,,,,233.064,,
31-May-14,,,,10.272,,,,,,,,
31-Mar-14,,,,,,,,,,,79.96,
13-Jun-14,,,,,,,,,,,6.48,
16-Apr-14,2298.9,,,,,,,,,,,
13-Sep-14,,,,,,,,,,13.092,,
2-Nov-14,197.72,,,,,,,,,,,
2-Jul-14,,246.364,,,,,,,,,,
30-Nov-14,,,,,,,,,89.36,,,
17-Sep-14,,,,,,,,,,87.168,,
30-Nov-14,440.144,,,,,,,,,,,
20-Sep-14,,,,,,,,,,1664.132,,
20-Dec-14,,,,,,,,,,,,11.696
18-Sep-14,,,,,,,,717.12,,,,
4-Sep-14,,,,,,,,,,919.49,,
24-Sep-14,,,,,,,,,,517.5,,
19-Mar-14,,,,,,,,,,14.496,,
25-Dec-14,,,,,,,,,,19.584,,
15-Nov-14,,,,,,,,,,,,39.96
16-Mar-14,,,,,,,,,,6412.77,,
18-Jun-14,,,,,,,,,,,13.632,
19-Sep-14,,,,,,,,,,,66.36,
7-Feb-14,,,,,,,,,,,324.11,
7-May-14,,,,,,,,,,45.68,,
12-Mar-14,,,,,,,,,,5.04,,
22-Nov-14,32.985,,,,,,,,,,,
20-Apr-14,,,,,,,,,,,896.31,
3-Sep-14,,,,,,,,,,,200.984,
15-Dec-14,,,,,,,,,,,246.168,
11-Dec-14,196.62,,,,,,,,,,,
29-Mar-14,,,,,,,5.56,,,,,
17-Jan-14,,,,,,,,,,88.96,,
8-Sep-14,,,,,,,,,,,21.36,
18-Dec-14,,,,,,,,,,,94.688,
1-Mar-14,,,,,,,58.72,,,,,
20-May-14,,,,,,,,,,169.544,,
29-Mar-14,,,,,,,,,1166.92,,,
9-Jul-14,,,,,,,,,,5.16,,
6-Dec-14,,,,,,,173.94,,,,,
25-Jul-14,,,,,,,,,,,457.04,
14-Nov-14,,860.07,,,,,,,,,,
23-May-14,,,,,,,,,,,186.69,
23-Oct-14,,,,78.456,,,,,,,,
9-Aug-14,,,,,,,,,,,4.608,
4-Dec-14,,,,,,,1635.018,,,,,
9-May-14,,,,,,,,,,48.81,,
30-Nov-14,,,,,,,,,,177.48,,
18-Jun-14,,670.001,,,,,,,,,,
20-Dec-14,,,,,,,,,,36.27,,
30-Nov-14,,17.088,,,,,,,,,,
21-Sep-14,,,,,,,,,,3631.96,,
27-Nov-14,,,,,,,,,,,,6.24
6-Sep-14,,,,,,,,,,,7.24,
7-Sep-14,,,,,,,,140.736,,,,
1-May-14,,,,,,,,,,,277.632,
8-Jun-14,,,,,,,,,,,937.608,
28-Oct-14,,,,,,,,,,104.51,,
9-Oct-14,,,,,,,,,,50.462,,
7-Aug-14,,,,,,,,520.03,,,,
30-May-14,,,,,,,,,,,,151.96
20-Nov-14,,,,,,,,,,377.902,,
31-Jul-14,,,,,,,,,,,239.7,
21-Dec-14,47.976,,,,,,,,,,,
23-Aug-14,,,,,,,,,,1142.43,,
15-May-14,,,,,,,,17.94,,,,
26-Nov-14,,,,,,,,,,,692.472,
16-Sep-14,,,,,,,,,,31.12,,
4-Oct-14,,,,,,,,392.94,,,,
22-Nov-14,,,,,,,,,,58.05,,
6-Sep-14,,,,,,,,,,,46.62,
13-Jan-14,,,,,,,,9.82,,,,
22-Oct-14,,,,,,,9.952,,,,,
20-Feb-14,,,,,,,,,,29.99,,
16-Dec-15,,,,,,,,,,,,19.44
15-Jul-15,,,,29,,,,,,,,
3-Jul-15,,,,,,,,,,7.7,,
2-May-15,,,,,,,140.52,,,,,
10-Dec-15,1056.86,,,,,,,,,,,
12-Sep-15,,,,,,,,,,1611.01,,
25-Jul-15,73.2,,,,,,,,,,,
26-Jul-15,,,,,,,,,,2503.47,,
28-Nov-15,,,,,,,,,,447.783,,
21-May-15,,,,1363.96,,,,,,,,
6-May-15,,,,,,,,,,,,270.728
21-Oct-15,,,,,,,,,,,,61.1
17-Jan-15,,,,,,,,,,,316,
7-Feb-15,,,,107.83,,,,,,,,
3-Sep-15,,,,,,,,,,1854.241,,
16-Feb-15,,,,,,,,,,323.88,,
21-May-15,,,,,,,,,,2.694,,
30-Sep-15,,,,,,,,,,298.83,,
8-Feb-15,,,,,,,,,1127.976,,,
24-Jan-15,,,,,,,,31.36,,,,
6-Dec-15,,,,,,,1284.8,,,,,
23-Sep-15,,,,,,,,,,,104.712,
13-May-15,,,,,,,,,,,10.96,
5-Aug-15,,,,,,,,,,,,158.81
12-Feb-15,1366.04,,,,,,,,,,,
19-Sep-15,,,,,,,,,,3,,
28-Dec-15,,,,,,,,,,2.61,,
13-Apr-15,,,,,,,,,,448.81,,
11-Sep-15,,,,,,,,,,,519.68,
6-May-15,,14.352,,,,,,,,,,
19-Dec-15,,,,,,,,1410.066,,,,
27-May-15,,,,,,,,232.624,,,,
19-Mar-15,,,,,,,871.8,,,,,
9-Dec-15,,,,,,,,,,334.256,,
29-May-15,,,,,,,,,,185.88,,
31-May-15,,,,,,,,,,,4317.3,
21-Nov-15,,,,,,,,,,,574.056,
8-Jul-15,,,,,,,,,,,45.584,
13-Mar-15,,,,,,,,,,,12.96,
23-Sep-15,,,,,,,,,,24.066,,
28-Aug-15,,,,,,,,,,,9.216,
2-Oct-15,,,,,,,36.364,,,,,
5-Sep-15,,,,,,,,,,239.5,,
13-Aug-15,,,,,,,,,,,562.2925,
20-Mar-15,,,,,,,,,,,31.086,
3-Feb-15,,,,,,,,,,866.4,,
16-Aug-15,,,,,,,,,,705.544,,
10-Aug-15,,,,,,,,,,,,16.218
28-Mar-15,,,,,,,,,,,92.7,
15-Aug-15,15.552,,,,,,,,,,,
5-Jun-15,75.88,,,,,,,,,,,
28-Oct-15,,,,,,,290.98,,,,,
25-Oct-15,,,,,,,,,,,,239.976
14-Nov-15,,,,,,,,,,52.136,,
5-Mar-15,,,,,,,,10.08,,,,
28-Sep-15,,,,,,,31.83,,,,,
22-Aug-15,,,,,,,,,,,,37.264
25-Nov-15,,,,,,,,,,,,392.832
29-Nov-15,,,,,,,,,,,7.434,
13-Sep-15,,,,,,,,,,,1159.06,
13-Apr-15,,,,,,,,,,,191.808,
6-Dec-15,191.82,,,,,,,,,,,
6-Feb-15,,,,,,,,,,,132.224,
14-Aug-15,125.92,,,,,,,,,,,
13-Jun-15,,224.9,,,,,,,,,,
2-Dec-15,,,,863.928,,,,,,,,
2-Apr-15,,,,,,,,,7.04,,,
24-Apr-15,,,,,,,,,,,36.24,
17-Dec-15,34.944,,,,,,,,,,,
16-Nov-15,,,,,630.024,,,,,,,
15-Nov-15,,,,,,,513.52,,,,,
5-Sep-15,,,,,,,,,,291.74,,
12-Nov-15,,,,,,,,,,,,681.432
26-Nov-15,,,,,,,,,,73.36,,
7-Sep-15,,,,,,,,,,99.156,,
14-Jan-15,,,,,,,,,,405.344,,
27-Nov-15,,3236.41,,,,,,,,,,
15-Jun-15,58.4,,,,,,,,,,,
18-Sep-15,,,,,,,,,,396,,
5-Jan-15,,,,,,,,255.904,,,,
21-Sep-15,,,,,,,,,,,115.48,
9-Apr-15,,,,,,,,,,,,215.84
9-Oct-15,,,,,,,,,,387.72,,
25-May-15,,,,,,261.1,,,,,,
6-Sep-15,,,,,,,228.586,,,,,
22-Oct-15,,,,,,,,,,,,74.32
2-Dec-15,,,,,,,,,,4.704,,
24-Dec-15,,,,,,,859.14,,,,,
11-Nov-15,,,,,,,,,,41.86,,
29-May-15,,,,,,,,,,,452.464,
26-May-15,,,,,,,,,,,,1311.97
19-Apr-15,,,,,,,,,,233.48,,
30-Dec-15,,,,,,,,,,,40.896,
30-Jun-15,,,,,,,191.88,,,,,
16-Mar-15,,,,,,,,,,,,365.44
29-Oct-15,,,,,,,,,,38.19,,
19-Sep-15,,,,,,,,,,,383.438,
17-Jun-15,,,,,,,,,91.475,,,
16-May-15,,,,,,,7.764,,,,,
16-Oct-15,,,,,,,,,,,342.76,
20-Sep-15,,,,,,,,,,254.99,,
22-Jul-15,,,,,,,,,,370.184,,
5-Nov-15,,,,10.74,,,,,,,,
2-Dec-15,,,,,,,,2145.25,,,,
29-Oct-15,,,,314.393,,,,,,,,
6-May-15,79.14,,,,,,,,,,,
31-May-15,3.282,,,,,,,,,,,
5-Oct-15,,,,,,,,,,,64.248,
19-Sep-15,,,,,,,,,,1264.14,,
15-Dec-15,,,,,,,,,,133.38,,
14-Feb-15,,,,,,,,,,264.18,,
12-Mar-15,,,,,,,,,,,,558.24
10-Jun-15,695.7,,,,,,,,,,,
26-Dec-15,,,,,,,,,,870.04,,
18-Apr-15,,,,,,,,,55.416,,,
26-Jul-15,,,10.44,,,,,,,,,
5-Sep-15,,,,,,,131.104,,,,,
